Date,Canal,Category,Subcategory,Subcategory2,Marca,Modelo,SKU,UPC,Item,URL SKU,Image,Price,Sales Price,Sales Flag,Store ID,Store Name,Store Address,Stock,UPC WM,Final Price
18/10/2022,Etiendas3b,Limpieza,Cuidado del Hogar,,Pinol,Limpiador Multiusos Pino Pinol 1 L,2571,7501025403034,Limpiador Multiusos Pino Pinol 1 L,https://www.etiendas3b.com.mx/producto/limpiador-multi-aceite-pino-pinol-1-l,https://tiendas3b.s3.amazonaws.com/prod/images/products/original/2571-1.jpg,25.0,25.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,7501025403034,25.0
18/10/2022,Etiendas3b,Cuidado del Hogar,Limpieza,,Fibroton,Pack de fibras verdes Fibrotón 2 Unidades,16625,7502261263604,Pack de fibras verdes Fibrotón 2 Unidades,https://www.etiendas3b.com.mx/producto/fibra-verde-2-pack-fibroton,https://tiendas3b.s3.amazonaws.com/prod/images/products/original/16625-1.png,13.0,13.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,7502261263604,13.0
18/10/2022,Etiendas3b,Limpieza,Cuidado del Hogar,,Fabuloso,Limpiador Multi Mar Fresco Fabuloso 1 L,3319,7501035910041,Limpiador Multi Mar Fresco Fabuloso 1 L,https://www.etiendas3b.com.mx/producto/limpiador-multi-mar-fresco-fabuloso-1-l,https://tiendas3b.s3.amazonaws.com/prod/images/products/original/3319-1.jpg,25.0,25.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,7501035910041,25.0
18/10/2022,Etiendas3b,Bebidas,Jugos,,Pau Pau,Bebida Pau Pau Six pack 250 Ml c/u,12240,7501013156003,Bebida Pau Pau Six pack 250 Ml c/u,https://www.etiendas3b.com.mx/producto/bebida-6-pack-pau-pau-250-ml,https://tiendas3b.s3.amazonaws.com/prod/images/products/original/1656705561~12240-1.jpg,24.0,24.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,7501013156003,24.0
18/10/2022,Etiendas3b,Jugos,Bebidas,Los más vendidos,Boing,Bebida Mango Boing 500 ml,4966,75003166,Bebida Mango Boing 500 ml,https://www.etiendas3b.com.mx/producto/bebida-mango-boing,https://tiendas3b.s3.amazonaws.com/prod/images/products/original/4966-1.jpg,10.0,10.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,75003166,10.0
18/10/2022,Etiendas3b,Jugos,Los más vendidos,Bebidas,Jumex,Jugo de Naranja Jumex Unico Fresco 1 L,16681,7501013138856,Jugo de Naranja Jumex Unico Fresco 1 L,https://www.etiendas3b.com.mx/producto/jugo-unico-fresco-naranja-jume1-l,https://tiendas3b.s3.amazonaws.com/prod/images/products/original/16681.png,25.0,25.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,7501013138856,25.0
18/10/2022,Etiendas3b,Despensa,Enlatados,,La Costena,Frijoles Refritos Bayos La Costeña 580 gr,2098,7501017004270,Frijoles Refritos Bayos La Costeña 580 gr,https://www.etiendas3b.com.mx/producto/frijol-refrito-bayo-la-costena-58-gr,https://alianza-tiendas3b.s3.amazonaws.com/prod/images/products/original/1660260186~2098-1.jpg,17.0,17.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,7501017004270,17.0
18/10/2022,Etiendas3b,Enlatados,Despensa,,Nuestro Campo,Chiles en Rodajas Nuestro Campo 800 gr,11143,7502261256484,Chiles en Rodajas Nuestro Campo 800 gr,https://www.etiendas3b.com.mx/producto/chile-en-rodajas-nuestro-campo,https://tiendas3b.s3.amazonaws.com/prod/images/products/original/11143-1.jpg,20.0,20.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,7502261256484,20.0
18/10/2022,Etiendas3b,Despensa,Enlatados,,Nuestro Campo,Chile Chipotle Nuestro Campo 105 gr,8765,7502261251700,Chile Chipotle Nuestro Campo 105 gr,https://www.etiendas3b.com.mx/producto/chile-chipotle-nuestro-campo-105gr,https://alianza-tiendas3b.s3.amazonaws.com/prod/images/products/original/1657237808~8765-1.jpg,9.0,9.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,7502261251700,9.0
18/10/2022,Etiendas3b,Enlatados,Despensa,,Corina,Sardina en salsa de Tomate Corina 425 gr,18014,58897093841,Sardina en salsa de Tomate Corina 425 gr,https://www.etiendas3b.com.mx/producto/sardina-tomate-corina-425-gr,https://tiendas3b.s3.amazonaws.com/prod/images/products/original/18014-1.jpg,27.0,27.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,58897093841,27.0
